date      ,zone              ,cumulative_Chile_infections,Chile_new_infections,new_infections_with_symptoms,new_infections_without_symptoms,deceased,%_Chile
2020-05-15,Arica y Parinacota,368                        ,5                   ,5                           ,0                              ,7       ,0.93%
2020-05-15,Tarapacá          ,779                        ,97                  ,75                          ,22                             ,2       ,1.97%
2020-05-15,Antofagasta       ,1331                       ,54                  ,38                          ,16                             ,12      ,3.37%
2020-05-15,Atacama           ,143                        ,3                   ,2                           ,1                              ,0       ,0.36%
2020-05-15,Coquimbo          ,180                        ,15                  ,5                           ,10                             ,1       ,0.46%
2020-05-15,Valparaíso        ,1312                       ,99                  ,66                          ,33                             ,27      ,3.32%
2020-05-15,Metropolitana     ,29276                      ,2060                ,1793                        ,267                            ,221     ,74.04%
2020-05-15,O’Higgins         ,323                        ,28                  ,22                          ,6                              ,5       ,0.82%
2020-05-15,Maule             ,540                        ,21                  ,14                          ,7                              ,14      ,1.37%
2020-05-15,Ñuble             ,885                        ,36                  ,30                          ,6                              ,20      ,2.24%
2020-05-15,Biobío            ,1036                       ,41                  ,32                          ,9                              ,9       ,2.62%
2020-05-15,Araucanía         ,1564                       ,28                  ,18                          ,10                             ,43      ,3.96%
2020-05-15,Los Ríos          ,219                        ,5                   ,4                           ,1                              ,6       ,0.55%
2020-05-15,Los Lagos         ,641                        ,8                   ,6                           ,2                              ,11      ,1.62%
2020-05-15,Aysén             ,8                          ,0                   ,0                           ,0                              ,0       ,0.02%
2020-05-15,Magallanes        ,937                        ,2                   ,2                           ,0                              ,16      ,2.37%
2020-05-15,Chile             ,39542                      ,2502                ,2112                        ,390                            ,394     ,100%
2020-05-16,Arica y Parinacota,377                        ,9                   ,7                           ,2                              ,7       ,0.91
2020-05-16,Tarapacá          ,845                        ,66                  ,51                          ,15                             ,2       ,2.04
2020-05-16,Antofagasta       ,1429                       ,98                  ,71                          ,27                             ,12      ,3.45
2020-05-16,Atacama           ,146                        ,3                   ,3                           ,0                              ,0       ,0.35
2020-05-16,Coquimbo          ,187                        ,7                   ,0                           ,7                              ,2       ,0.45
2020-05-16,Valparaíso        ,1365                       ,53                  ,33                          ,20                             ,28      ,3.29
2020-05-16,Metropolitana     ,30794                      ,1518                ,1319                        ,199                            ,246     ,74.33
2020-05-16,O’Higgins         ,329                        ,6                   ,6                           ,0                              ,5       ,0.79
2020-05-16,Maule             ,551                        ,11                  ,9                           ,2                              ,14      ,1.33
2020-05-16,Ñuble             ,921                        ,36                  ,14                          ,22                             ,20      ,2.22
2020-05-16,Biobío            ,1074                       ,38                  ,29                          ,9                              ,9       ,2.59
2020-05-16,Araucanía         ,1587                       ,23                  ,16                          ,7                              ,43      ,3.83
2020-05-16,Los Ríos          ,219                        ,0                   ,0                           ,0                              ,6       ,0.53
2020-05-16,Los Lagos         ,644                        ,3                   ,3                           ,0                              ,11      ,1.55
2020-05-16,Aysén             ,8                          ,0                   ,0                           ,0                              ,0       ,0.02
2020-05-16,Magallanes        ,952                        ,15                  ,12                          ,3                              ,16      ,2.30
2020-05-16,Chile             ,41428                      ,1886                ,1573                        ,313                            ,421     ,100
2020-05-17,Arica y Parinacota,378                        ,1                   ,1                           ,0                              ,7       ,0.86
2020-05-17,Tarapacá          ,975                        ,130                 ,108                         ,22                             ,4       ,2.23
2020-05-17,Antofagasta       ,1505                       ,76                  ,60                          ,16                             ,13      ,3.44
